,,precision at 99%,recall at  at 99%,f1 at  at 99%,precision at 95% ,recall at 95% ,f1 at 95% ,precision at 90%,recall at 90%,f1 at 90%,precision at 80%,recall at 80%,f1 at 80%,precision at 50%,recall at 50%,f1 at 50%,auc
GB,"['n_estimators', 'learning_rate', 'subsample', 'max_depth'] = (100, 0.5, 0.5, 50)",0.776498595,0.919157389,0.841826913,0.806056648,0.91236661,0.855923205,0.838511188,0.90021712,0.868269209,0.850148888,0.896844828,0.872872783,0.895914809,0.878366517,0.887053884,0.107560353
GB,"['n_estimators', 'learning_rate', 'subsample', 'max_depth'] = (100, 0.5, 1.0, 5)",0.776498595,0.919157389,0.841826913,0.806056648,0.91236661,0.855923205,0.838511188,0.90021712,0.868269209,0.850148888,0.896844828,0.872872783,0.895914809,0.878366517,0.887053884,0.107560353
GB,"['n_estimators', 'learning_rate', 'subsample', 'max_depth'] = (100, 0.5, 1.0, 50)",0.776498595,0.919157389,0.841826913,0.806056648,0.91236661,0.855923205,0.838511188,0.90021712,0.868269209,0.850148888,0.896844828,0.872872783,0.895914809,0.878366517,0.887053884,0.107560353
LR,"['penalty', 'C'] = ('l1', 0.001)",0.330750433,0.987896706,0.495579528,0.429650652,0.97209775,0.595916402,0.519437739,0.95426618,0.672702109,0.638227005,0.920589458,0.753834805,0.912770446,0.859472444,0.88532001,0.539111766
LR,"['penalty', 'C'] = ('l1', 0.1)",0.330750433,0.987896706,0.495579528,0.429650652,0.97209775,0.595916402,0.519437739,0.95426618,0.672702109,0.638227005,0.920589458,0.753834805,0.912770446,0.859472444,0.88532001,0.539111766
LR,"['penalty', 'C'] = ('l1', 1)",0.330750433,0.987896706,0.495579528,0.429650652,0.97209775,0.595916402,0.519437739,0.95426618,0.672702109,0.638227005,0.920589458,0.753834805,0.912770446,0.859472444,0.88532001,0.539111766
LR,"['penalty', 'C'] = ('l1', 10)",0.330750433,0.987896706,0.495579528,0.429650652,0.97209775,0.595916402,0.519437739,0.95426618,0.672702109,0.638227005,0.920589458,0.753834805,0.912770446,0.859472444,0.88532001,0.539111766
LR,"['penalty', 'C'] = ('l1', 1e-05)",0.330750433,0.987896706,0.495579528,0.429650652,0.97209775,0.595916402,0.519437739,0.95426618,0.672702109,0.638227005,0.920589458,0.753834805,0.912770446,0.859472444,0.88532001,0.539111766
LR,"['penalty', 'C'] = ('l2', 0.001)",0.330750433,0.987896706,0.495579528,0.429650652,0.97209775,0.595916402,0.519437739,0.95426618,0.672702109,0.638227005,0.920589458,0.753834805,0.912770446,0.859472444,0.88532001,0.539111766
LR,"['penalty', 'C'] = ('l2', 0.1)",0.330750433,0.987896706,0.495579528,0.429650652,0.97209775,0.595916402,0.519437739,0.95426618,0.672702109,0.638227005,0.920589458,0.753834805,0.912770446,0.859472444,0.88532001,0.539111766
LR,"['penalty', 'C'] = ('l2', 1)",0.330750433,0.987896706,0.495579528,0.429650652,0.97209775,0.595916402,0.519437739,0.95426618,0.672702109,0.638227005,0.920589458,0.753834805,0.912770446,0.859472444,0.88532001,0.539111766
LR,"['penalty', 'C'] = ('l2', 10)",0.330750433,0.987896706,0.495579528,0.429650652,0.97209775,0.595916402,0.519437739,0.95426618,0.672702109,0.638227005,0.920589458,0.753834805,0.912770446,0.859472444,0.88532001,0.539111766
LR,"['penalty', 'C'] = ('l2', 1e-05)",0.330750433,0.987896706,0.495579528,0.429650652,0.97209775,0.595916402,0.519437739,0.95426618,0.672702109,0.638227005,0.920589458,0.753834805,0.912770446,0.859472444,0.88532001,0.539111766
RF,"['n_estimators', 'max_depth', 'max_features', 'min_samples_split', 'n_jobs'] = (10, 5, 'log2', 10, -1)",0.350903047,0.989975516,0.51814599,0.555916931,0.963320553,0.704993407,0.661858611,0.943271585,0.777896301,0.784323022,0.917078579,0.84552153,0.941161513,0.854945258,0.89598412,0.55409431
RF,"['n_estimators', 'max_depth', 'max_features', 'min_samples_split', 'n_jobs'] = (10, 5, 'log2', 2, -1)",0.338085475,0.990345082,0.504085496,0.549042842,0.963228161,0.699416342,0.664045236,0.943964522,0.77964097,0.788514238,0.917170971,0.847990433,0.939436977,0.855591999,0.895556308,0.565328156
RF,"['n_estimators', 'max_depth', 'max_features', 'min_samples_split', 'n_jobs'] = (10, 5, 'sqrt', 10, -1)",0.351610467,0.989421167,0.518840615,0.561601726,0.962119462,0.709221549,0.657308778,0.946412898,0.775802329,0.792256054,0.915923685,0.849613267,0.94227634,0.854390909,0.896184131,0.554683415
RF,"['n_estimators', 'max_depth', 'max_features', 'min_samples_split', 'n_jobs'] = (10, 5, 'sqrt', 2, -1)",0.338171492,0.990206495,0.504163139,0.563375701,0.960317827,0.710142452,0.667572701,0.941700929,0.781288926,0.782177828,0.918834019,0.845016569,0.93593821,0.856469719,0.8944423,0.56182458
RF,"['n_estimators', 'max_depth', 'max_features', 'min_samples_split', 'n_jobs'] = (10, 50, 'log2', 10, -1)",0.35099674,0.989883125,0.518235465,0.502797186,0.967385781,0.661684783,0.670304385,0.942024299,0.783268355,0.789869489,0.917032383,0.848714167,0.936335639,0.856746893,0.894774931,0.549515577
RF,"['n_estimators', 'max_depth', 'max_features', 'min_samples_split', 'n_jobs'] = (10, 50, 'log2', 2, -1)",0.348541778,0.989883125,0.5155547,0.562843007,0.961749896,0.71010983,0.671306351,0.942440061,0.784095932,0.788896396,0.917032383,0.848152104,0.931094964,0.85831755,0.893226287,0.547939915
RF,"['n_estimators', 'max_depth', 'max_features', 'min_samples_split', 'n_jobs'] = (10, 50, 'sqrt', 10, -1)",0.352718411,0.98960595,0.520071376,0.559128241,0.962350441,0.707308378,0.664228118,0.943733543,0.779688186,0.788557115,0.916200859,0.847600325,0.937813085,0.856192544,0.8951461,0.549508127
RF,"['n_estimators', 'max_depth', 'max_features', 'min_samples_split', 'n_jobs'] = (10, 50, 'sqrt', 2, -1)",0.350384301,0.989790733,0.517554984,0.577268806,0.958239017,0.720493227,0.661287193,0.944565067,0.777940533,0.791773061,0.916755209,0.849692792,0.937398867,0.856377327,0.895058301,0.551469071
RF,"['n_estimators', 'max_depth', 'max_features', 'min_samples_split', 'n_jobs'] = (100, 5, 'log2', 10, -1)",0.354002776,0.989513558,0.52145335,0.561790787,0.962858595,0.709573092,0.662154723,0.944611263,0.778556199,0.789157585,0.916570425,0.848105324,0.938649374,0.855915369,0.895375248,0.549234091
