SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
Vacant/Abandoned Building,17-01101202,02/27/2017,Front,,Open,,Vacant,false,false,8424,S,GILBERT,CT,60620,1172798.89001047,1848667.45998352,21,6,71,41.74017428629148,-87.64246658972093,"(41.740174286291, -87.642466589721)"
Vacant/Abandoned Building,17-01331102,03/10/2017,Front,,Open,REAR ENTRY DOOR,Vacant,true,true,6429,S,WOLCOTT,AVE,60636,1164789.06618864,1862044.33197044,15,7,67,41.77705501227918,-87.67143656083536,"(41.777055012279, -87.671436560835)"
Vacant/Abandoned Building,17-02089572,04/10/2017,Rear,,Open,,Vacant,false,false,5351,S,PEORIA,ST,60609,1171212.74006577,1869233.06797232,20,9,61,41.79664363243668,-87.64767736399192,"(41.796643632437, -87.647677363992)"
Vacant/Abandoned Building,17-01430739,03/16/2017,Front,,Open,WIDE OPEN,Vacant,false,true,3502,W,HURON,ST,60624,1152901.88760492,1904445.20477024,27,11,23,41.893651191563805,-87.71389414585421,"(41.893651191564, -87.713894145854)"
Vacant/Abandoned Building,17-01965684,04/05/2017,Rear,,Open,REAR DOOR,Vacant,false,true,922,N,LAWNDALE,AVE,60651,1151548.5007937,1905897.9464314,27,11,23,41.89766436467969,-87.71882649039846,"(41.89766436468, -87.718826490398)"
Vacant/Abandoned Building,17-04936816,07/26/2017,Front,,Open,,Vacant,false,true,5806,S,MAY,ST,60621,1169644.60401124,1866264.44867295,16,7,68,41.788531580957326,-87.6535139451038,"(41.788531580957, -87.653513945104)"
Vacant/Abandoned Building,17-01613664,03/23/2017,Front,,Open,"WINDOWS ON GANGWAY PIECE OF PLYWOOD, YOU CAN PUSH IT OPEN.",Vacant,true,true,1622,W,21ST,PL,60608,1165807.19977378,1889807.48502315,25,12,31,41.853218626565436,-87.66691477670352,"(41.853218626565, -87.666914776704)"
Vacant/Abandoned Building,17-01821046,03/31/2017,,,,,,,,7212,S,UNIVERSITY,AVE,60619,1185129.28006788,1857425.29076577,5,3,69,41.76392613549679,-87.5970153721672,"(41.763926135497, -87.597015372167)"
Vacant/Abandoned Building,17-02969381,05/11/2017,Front,,Open,FRONT DOOR,Vacant,false,true,6003,S,MORGAN,ST,60621,1170670.81952037,1865014.55817449,16,7,68,41.78507940951454,-87.64978763011267,"(41.785079409515, -87.649787630113)"
Vacant/Abandoned Building,17-01350730,03/11/2017,Front,,Boarded,,Vacant,false,true,2828,W,FULTON,ST,60612,1157485.53526808,1901883.45457407,27,12,27,41.88652947407314,-87.6971296762829,"(41.886529474073, -87.697129676283)"
